well_sample,temp_measured,pH,Na,K,Ca,Mg,Cl,SO4
GPK1_KS228,137.0,5.82,28200.0,3320.0,6730.0,150.0,58500.0,215.0
GPK1_KD005,137.0,5.22,27200.0,3210.0,6760.0,145.0,57000.0,205.0
GPK1_KD006,137.0,5.02,28000.0,3280.0,6960.0,152.0,58100.0,220.0
GPK1_KD007,137.0,5.14,27900.0,3400.0,6930.0,152.0,58500.0,225.0
EPSI,150.0,7.2824,28300.0,3360.0,7990.0,122.0,59800.0,76.0
4616,116.0,5.5,27800.0,3450.0,8400.0,140.0,60900.0,240.0
KP3500,165.0,5.03,27900.0,2810.0,7300.0,112.0,61000.0,198.0
Cronenbourg,140.0,7.2824,31500.0,4030.0,4810.0,126.0,62000.0,480.0
Buhl_B2460,115.0,7.2824,64000.0,494.0,11600.0,1930.0,120300.0,1586.0
Buhl_B2535,115.0,7.2824,63900.0,503.0,11700.0,1900.0,120500.0,1525.0
Bruchsal_GB1,114.0,7.2824,38100.0,2200.0,7740.0,434.0,75200.0,387.0
Bruchsal_GB2,128.0,7.2824,36800.0,3220.0,7890.0,403.0,74300.0,243.0
Hélions,72.0,6.2,5200.0,564.0,1500.0,111.0,11300.0,675.0
Morsbronn haut,42.0,6.34,1550.0,175.0,463.0,31.2,2770.0,675.0
Morsbronn bas,41.0,6.43,1330.0,142.0,318.0,25.2,2390.0,380.0
GRT1_Rittershoffen_GRT1-6,163.0,6.27,28451.0,3789.0,7200.0,138.0,59900.0,220.0
GPK1_Soultz-sous-Forêts,137.0,5.02,28000.0,3300.0,6960.0,152.0,58100.0,220.0
GPK1_Soultz-sous-Forêts,165.0,5.03,27900.0,3055.0,7300.0,125.5,61000.0,227.0
GPK2_Soultz-sous-Forêts,200.0,5.04,27500.0,3250.0,6900.0,125.0,59000.0,190.0
GPK1_KP-3500,165.0,5.52,27200.0,3300.0,6260.0,139.0,58700.0,255.0
GPK2_1999_Pre-stim_D1,200.0,5.45,27400.0,2860.0,6600.0,98.0,59000.0,159.0
GPK2_P71,200.0,5.58,23500.0,2770.0,5020.0,124.0,46200.0,150.0
GPK3_Soultz-sous-Forêts_P8,200.0,5.51,27200.0,2700.0,5850.0,100.0,51500.0,163.0
GTLA1_Laau,160.0,5.15,28200.0,4000.0,7700.0,76.0,64200.0,126.0
INSH_Insheim,165.0,5.23,29900.0,3820.0,7250.0,99.0,64900.0,131.0
GPK2_Soultz-sous-Forêts,200.0,4.98,28140.0,3200.0,7230.0,131.0,58560.0,157.0
GRT1_Rittershoffen,160.0,6.27,28450.0,3790.0,7200.0,138.0,59900.0,220.0
CRON_Cronenbourg,140.0,6.7,31500.0,4030.0,4810.0,126.0,62000.0,480.0
GBRU1_Bruchsal,120.0,5.06,35130.0,3110.0,7360.0,301.0,73570.0,267.0
BUHL_Bühl,115.0,7.2824,64000.0,490.0,11600.0,1930.0,120300.0,1586.0
